INSTNM,CIPDESC,DEBTMEAN,MD_EARN_WNE,BESTVALUE,Good Investment
Alabama A & M University,"Computer and Information Sciences, General.",37194,54300,1.4979310344827583,False
Alabama A & M University,"Teacher Education and Professional Development, Specific Subject Areas.",33085,25400,0.8062212347246469,False
Alabama A & M University,"Electrical, Electronics and Communications Engineering.",36482,54500,1.5656870349622225,True
Alabama A & M University,Mechanical Engineering.,38900,45800,1.2402512998266897,False
Alabama A & M University,"Liberal Arts and Sciences, General Studies and Humanities.",30970,24000,0.8011750567498999,False
Alabama A & M University,"Biology, General.",32783,23800,0.7,False
Alabama A & M University,"Business Administration, Management and Operations.",35321,36600,1.056338028169014,False
University of Alabama at Birmingham,Communication and Media Studies.,21667,26300,1.2247368911241499,False
University of Alabama at Birmingham,"Computer and Information Sciences, General.",25889,56900,2.0504504504504504,True
University of Alabama at Birmingham,"Teacher Education and Professional Development, Specific Levels and Methods.",26667,34600,1.3568627450980393,False
University of Alabama at Birmingham,"Teacher Education and Professional Development, Specific Subject Areas.",24781,28600,1.229103098543126,False
University of Alabama at Birmingham,Civil Engineering.,31167,55800,1.907692307692308,True
University of Alabama at Birmingham,"Electrical, Electronics and Communications Engineering.",28129,66000,2.64,True
University of Alabama at Birmingham,Materials Engineering,24453,60200,2.4567417564479266,True
University of Alabama at Birmingham,Mechanical Engineering.,23900,57200,2.568477772788505,True
University of Alabama at Birmingham,"English Language and Literature, General.",24493,26300,1.0626262626262626,False
University of Alabama at Birmingham,"Liberal Arts and Sciences, General Studies and Humanities.",27805,29400,1.109433962264151,False
University of Alabama at Birmingham,"Biology, General.",22909,25900,1.08937960042061,False
University of Alabama at Birmingham,"Psychology, General.",24781,26100,1.044,False
University of Alabama at Birmingham,Criminal Justice and Corrections.,25298,30600,1.224,False
University of Alabama at Birmingham,Social Work.,25439,28200,1.2260869565217392,False
University of Alabama at Birmingham,Sociology.,29249,29400,1.0094420600858371,False
University of Alabama at Birmingham,Fine and Studio Arts.,25048,24100,1.0306192268217584,False
University of Alabama at Birmingham,Health and Medical Administrative Services.,26081,35800,1.3769230769230771,False
University of Alabama at Birmingham,"Allied Health Diagnostic, Intervention, and Treatment Professions.",30594,40600,1.3096774193548386,False
University of Alabama at Birmingham,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",19611,54700,3.0388888888888888,True
University of Alabama at Birmingham,"Business Administration, Management and Operations.",24100,40400,1.7034194881308766,True
University of Alabama at Birmingham,Accounting and Related Services.,26206,43800,1.8527918781725887,True
University of Alabama at Birmingham,Finance and Financial Management Services.,26351,41400,1.5432213814440676,True
University of Alabama at Birmingham,Management Information Systems and Services.,27389,51300,1.8486486486486489,True
University of Alabama at Birmingham,Marketing.,22977,35800,1.432,False
University of Alabama at Birmingham,History.,24645,23000,0.92,False
University of Alabama in Huntsville,"Computer and Information Sciences, General.",27268,59200,2.0263563238062643,True
University of Alabama in Huntsville,"Electrical, Electronics and Communications Engineering.",26206,60400,2.248194744286459,True
University of Alabama in Huntsville,Mechanical Engineering.,25436,63800,2.552,True
University of Alabama in Huntsville,"Biology, General.",24805,26900,1.0979591836734697,False
University of Alabama in Huntsville,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",21684,49300,2.500634034998732,True
University of Alabama in Huntsville,"Business Administration, Management and Operations.",26415,42000,1.6,True
Alabama State University,Communication and Media Studies.,31631,20700,0.667741935483871,False
Alabama State University,Information Science/Studies.,35970,25500,0.7818488425571056,False
Alabama State University,"Teacher Education and Professional Development, Specific Levels and Methods.",36077,35700,1.0082751998192447,False
Alabama State University,"Biology, General.",30035,21000,0.6532084979315064,False
Alabama State University,"Psychology, General.",31417,24000,0.7693787266782074,False
Alabama State University,Criminal Justice and Corrections.,32037,27000,0.8275862068965517,False
Alabama State University,Social Work.,33207,29800,0.8483985765124555,False
Alabama State University,Rehabilitation and Therapeutic Professions.,31299,21600,0.6545454545454545,False
The University of Alabama,Communication and Media Studies.,21471,34300,1.4329281029368761,False
The University of Alabama,Journalism.,21470,28000,1.2098690748822538,False
The University of Alabama,"Radio, Television, and Digital Communication.",23647,26100,1.044,False
The University of Alabama,"Public Relations, Advertising, and Applied Communication.",22487,36300,1.452,False
The University of Alabama,"Computer and Information Sciences, General.",20728,61400,2.8558139534883717,True
The University of Alabama,Special Education and Teaching.,23258,37200,1.4880000000000002,False
The University of Alabama,"Teacher Education and Professional Development, Specific Levels and Methods.",21932,36000,1.552393272962484,True
The University of Alabama,"Teacher Education and Professional Development, Specific Subject Areas.",23591,28000,1.12,False
The University of Alabama,"Aerospace, Aeronautical and Astronautical Engineering.",22240,46300,1.7148148148148148,True
The University of Alabama,Chemical Engineering.,19543,64700,3.15609756097561,True
The University of Alabama,Civil Engineering.,26088,58000,2.1481481481481484,True
The University of Alabama,"Electrical, Electronics and Communications Engineering.",24016,71600,3.0046160302140157,True
The University of Alabama,Mechanical Engineering.,23424,63200,2.4307692307692306,True
The University of Alabama,"Family and Consumer Sciences/Human Sciences, General.",24811,28900,1.171985887505576,False
The University of Alabama,Family and Consumer Economics and Related Studies.,23424,37200,1.6127633746640075,True
The University of Alabama,"Human Development, Family Studies, and Related Services.",25509,27700,1.0974208628818192,False
The University of Alabama,Apparel and Textiles.,23799,35700,1.3797101449275362,False
The University of Alabama,"English Language and Literature, General.",21076,21300,1.008284023668639,False
The University of Alabama,"Biology, General.",20834,21300,0.9161290322580644,False
The University of Alabama,Mathematics.,19696,42500,1.9318181818181817,True
The University of Alabama,"Multi-/Interdisciplinary Studies, General.",24351,36400,1.3769102738689665,False
The University of Alabama,"Psychology, General.",22398,24700,1.0595856033632192,False
The University of Alabama,Criminal Justice and Corrections.,23526,31800,1.272,False
The University of Alabama,Social Work.,25416,33900,1.3738601823708207,False
The University of Alabama,International Relations and National Security Studies.,20046,25100,1.0795698924731183,False
The University of Alabama,Political Science and Government.,22079,28000,1.2410247318500134,False
The University of Alabama,Design and Applied Arts.,24669,36600,1.4076923076923078,False
The University of Alabama,Drama/Theatre Arts and Stagecraft.,23164,14000,0.56,False
The University of Alabama,Fine and Studio Arts.,21948,28300,1.2237837837837835,False
The University of Alabama,Communication Disorders Sciences and Services.,21551,23900,1.0335135135135136,False
The University of Alabama,Dietetics and Clinical Nutrition Services.,24515,31600,1.1813084112149532,False
The University of Alabama,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",20015,54400,2.901333333333333,True
The University of Alabama,"Health Professions and Related Clinical Sciences, Other.",27257,30500,1.150943396226415,False
The University of Alabama,"Business Administration, Management and Operations.",24333,42400,1.696,True
The University of Alabama,Accounting and Related Services.,21856,51300,2.206451612903226,True
