INSTNM,Agriculture,Natural Resources and Conservation,Architecture,Communication,Communications Technologies/Technicians,Computer And Information Sciences,Personal And Culinary Services,Education,Engineering,Engineering Technologies,"Foreign Languages, Literatures, And Linguistics",Family And Consumer Sciences/Human Sciences,Legal Professions And Studies,English Language And Literature/Letters,Liberal Arts And Sciences,Library Science,Biological And Biomedical Sciences,Mathematics And Statistics,Military Technologies And Applied Sciences,Multi/Interdisciplinary Studies,"Parks, Recreation, Leisure, And Fitness Studies",Philosophy And Religious Studies,Theology And Religious Vocations,Physical Sciences,Science Technologies/Technicians,Psychology,"Homeland Security, Law Enforcement, Firefighting And Related Protective Services", Public Administration And Social Service Professions,Social Sciences,Construction Trades,Mechanic And Repair Technologies/Technicians,Precision Production,Transportation And Materials Moving,Visual And Performing Arts,Health Professions And Related Programs,"Business, Management, Marketing, And Related Support Services",History
Alabama A & M University,3.75,1.77,0.0,0.0,4.42,3.53,0.0,11.92,7.51,2.87,0.0,1.9900000000000002,0.0,1.32,6.18,0.0,9.49,0.0,0.0,0.0,0.0,0.0,0.0,3.53,0.0,5.74,5.52,7.51,2.4299999999999997,0.0,0.0,0.0,0.0,2.65,0.0,17.0,0.0
University of Alabama at Birmingham,0.0,0.0,0.21,3.49,0.0,1.41,0.0,6.65,6.98,0.0,0.25,0.0,0.0,1.7399999999999998,1.87,0.0,7.7299999999999995,1.1199999999999999,0.0,0.0,0.0,0.58,0.0,1.7399999999999998,0.0,6.4799999999999995,3.0300000000000002,2.6599999999999997,3.49,0.0,0.0,0.0,0.0,3.61,24.93,20.57,1.4500000000000002
Amridge University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57,0.0,0.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.870000000000001,0.0,0.0,0.0,7.9399999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.92,0.0
University of Alabama in Huntsville,0.0,0.0,0.0,2.08,0.0,7.55,0.0,3.4000000000000004,29.18,0.0,1.23,0.0,0.0,1.8900000000000001,0.0,0.0,5.8500000000000005,1.4200000000000002,0.0,0.09,2.55,0.76,0.0,3.1199999999999997,0.0,1.51,0.0,0.0,2.17,0.0,0.0,0.0,0.0,2.46,10.2,23.51,1.04
Alabama State University,0.0,0.0,0.0,9.29,0.0,5.65,0.0,12.25,0.0,0.0,0.0,0.0,0.0,1.21,0.0,0.0,8.48,1.7500000000000002,0.0,0.0,2.42,0.0,0.0,2.69,0.0,6.329999999999999,8.21,5.11,1.08,0.0,0.0,0.0,0.0,5.92,18.3,11.04,0.27
The University of Alabama,0.0,0.33999999999999997,0.31,10.489999999999998,0.0,0.88,0.0,6.6000000000000005,10.94,0.0,0.48,6.03,0.0,1.15,0.0,0.0,3.2099999999999995,0.77,0.0,1.6199999999999999,0.0,0.29,0.0,1.08,0.0,3.4799999999999995,2.45,1.22,3.4299999999999997,0.0,0.0,0.0,0.0,2.74,11.459999999999999,29.98,1.08
Central Alabama Community College,0.0,0.0,0.0,0.0,0.0,0.86,0.5700000000000001,0.0,0.0,6.29,0.0,2.0,0.0,0.0,37.71,0.0,0.0,0.0,0.0,4.859999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29,13.71,0.0,0.0,16.86,14.860000000000001,0.0
Athens State University,0.0,0.0,0.0,0.0,0.0,2.93,0.0,30.61,0.0,0.0,0.0,0.0,0.0,3.7000000000000006,4.21,0.0,3.7000000000000006,1.91,0.0,3.06,1.02,1.15,0.0,0.13,0.0,2.17,2.93,0.0,1.91,0.0,0.0,0.0,0.0,1.28,0.51,37.88,0.89
Auburn University at Montgomery,0.0,0.45999999999999996,0.0,3.52,0.0,5.970000000000001,0.0,8.12,0.0,0.0,0.9199999999999999,0.0,0.0,1.38,0.9199999999999999,0.0,5.510000000000001,0.61,0.0,1.53,5.82,0.0,0.0,1.53,0.0,6.13,5.82,0.0,3.83,0.0,0.0,0.0,0.0,2.76,23.89,20.21,1.0699999999999998
Auburn University,4.390000000000001,1.5699999999999998,0.0,5.46,0.0,0.98,0.0,5.16,18.21,0.0,0.84,3.18,0.0,1.3599999999999999,0.0,0.0,11.91,0.86,0.0,2.55,0.0,0.3,0.0,0.89,0.0,2.73,0.0,1.23,3.18,0.0,0.0,0.0,0.0,3.25,5.91,23.53,0.9299999999999999
Birmingham Southern College,0.0,1.8800000000000001,0.0,3.01,0.0,0.0,0.0,6.77,1.13,0.0,0.75,0.0,0.0,4.89,0.0,0.0,13.91,7.5200000000000005,0.0,0.75,0.0,1.5,0.0,4.14,0.0,10.530000000000001,0.0,0.0,8.27,0.0,0.0,0.0,0.0,6.02,0.0,25.94,3.01
Chattahoochee Valley Community College,0.0,0.0,0.0,0.0,0.0,1.9800000000000002,0.0,0.0,0.0,5.140000000000001,0.0,2.37,0.0,0.0,39.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.67,0.0,0.0,0.0,0.0,0.0,0.0,1.58,33.989999999999995,4.74,0.0
Concordia College Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.439999999999998,0.0,0.0,0.0,0.0,0.0,0.0,35.620000000000005,0.0,0.0,0.0,0.0,5.48,0.0,0.0,0.0,0.0,0.0,0.0,13.699999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8500000000000005,21.92,0.0
South University-Montgomery,0.0,0.0,0.0,0.0,0.0,13.889999999999999,0.0,0.0,0.0,0.0,0.0,0.0,7.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7000000000000006,3.7000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.11,10.190000000000001,0.0
Enterprise State Community College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58,1.29,0.0,36.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.26,0.0,0.0,0.0,4.84,12.26,0.0
