Major,Average Debt,Earnings,Average Best Value Score,Good Investment
"Computer and Information Sciences, General.",22931.9435483871,57665.72580645161,2.6708631489787935,True
"Teacher Education and Professional Development, Specific Subject Areas.",24212.138996138998,34247.87644787645,1.4487548864154784,False
"Electrical, Electronics and Communications Engineering.",23202.41968911917,67137.30569948186,2.9985534161759064,True
Mechanical Engineering.,22191.977099236643,62494.274809160306,2.856957872538242,True
"Liberal Arts and Sciences, General Studies and Humanities.",24027.04430379747,30221.835443037973,1.3578150055225189,False
"Biology, General.",22421.30836236934,27825.26132404181,1.2680494418555528,False
"Business Administration, Management and Operations.",23515.675914249685,40656.746532156365,1.8096869851559427,True
Communication and Media Studies.,22804.85807860262,31218.77729257642,1.4183161808601794,False
"Teacher Education and Professional Development, Specific Levels and Methods.",23816.010416666668,34428.958333333336,1.4769548613272379,False
Civil Engineering.,22563.873563218393,58466.666666666664,2.631928629620903,True
Materials Engineering,22237.21052631579,63805.26315789474,2.7369616090522464,True
"English Language and Literature, General.",22232.353960396038,26888.118811881188,1.2674164723067047,False
"Psychology, General.",23080.43018335684,27946.403385049365,1.273366484248747,False
Criminal Justice and Corrections.,24247.4975,32064.0,1.3988234358505063,False
Social Work.,24315.38888888889,31005.15873015873,1.3673016850464914,False
Sociology.,22959.173780487807,29521.951219512193,1.3992683275117954,False
Fine and Studio Arts.,23335.689655172413,23974.827586206895,1.0774763333729354,False
Health and Medical Administrative Services.,24035.308510638297,38598.936170212764,1.703034782048234,True
"Allied Health Diagnostic, Intervention, and Treatment Professions.",24260.010416666668,52600.0,2.239348577827424,True
"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",22915.00806451613,62532.58064516129,2.935568439304284,True
Accounting and Related Services.,22693.713968957873,47512.86031042129,2.166540864871765,True
Finance and Financial Management Services.,21588.503448275864,47985.51724137931,2.250894380716904,True
Management Information Systems and Services.,22990.778846153848,52518.269230769234,2.3981469440645093,True
Marketing.,21696.63017751479,39835.20710059172,1.8645519981470966,True
History.,22159.927083333332,28815.972222222223,1.3529081438165493,False
Information Science/Studies.,23244.109589041094,53747.94520547945,2.3830502045528923,True
Rehabilitation and Therapeutic Professions.,24167.314285714285,31534.285714285714,1.3692976941766062,False
Journalism.,22364.89552238806,30172.388059701494,1.3836917601770495,False
"Radio, Television, and Digital Communication.",22521.956043956045,27926.373626373625,1.2711943346649703,False
"Public Relations, Advertising, and Applied Communication.",22609.008474576272,35094.91525423729,1.5529977607538574,True
Special Education and Teaching.,23876.322033898305,36280.50847457627,1.5650505491947295,True
"Aerospace, Aeronautical and Astronautical Engineering.",22266.9375,61406.25,2.6805467236441456,True
Chemical Engineering.,21703.072,63044.8,2.9831789466072296,True
"Family and Consumer Sciences/Human Sciences, General.",24651.545454545456,27363.636363636364,1.2443643986530757,False
Family and Consumer Economics and Related Studies.,22683.333333333332,34300.0,1.5283394392314247,True
"Human Development, Family Studies, and Related Services.",23926.65137614679,27957.798165137614,1.2336416520261118,False
Apparel and Textiles.,22721.676470588234,33026.470588235294,1.4621926119875006,False
Mathematics.,20811.6875,43985.0,2.291179845642111,True
"Multi-/Interdisciplinary Studies, General.",24688.615384615383,28392.30769230769,1.2286775219814896,False
International Relations and National Security Studies.,19895.170731707316,33424.39024390244,1.7160101249161226,True
Political Science and Government.,21204.60895522388,33146.86567164179,1.6297829545942013,True
