School,Average Debt,Earnings,Average Best Value Score,Good Investment
Alabama A & M University,34962.142857142855,37771.42857142857,1.0953719555593187,False
University of Alabama at Birmingham,25585.16,38896.0,1.5702089548979143,True
University of Alabama in Huntsville,25302.333333333332,50266.666666666664,2.0041907144608206,True
Alabama State University,32709.125,25662.5,0.7763729300530495,False
The University of Alabama,22691.95238095238,38711.90476190476,1.6355024358653933,True
Auburn University at Montgomery,27226.444444444445,34366.666666666664,1.3346897872570322,False
Auburn University,21757.071428571428,41280.95238095238,1.9089482027962061,True
Birmingham Southern College,22328.0,32200.0,1.2417090853000154,False
Faulkner University,25737.5,35100.0,1.728551724137931,True
Huntingdon College,24586.333333333332,32366.666666666668,1.2915624096783516,False
Jacksonville State University,26855.0,31478.947368421053,1.2672482869029027,False
University of West Alabama,25232.0,33400.0,1.4847743943098466,False
University of Mobile,29104.0,36300.0,1.3081081081081078,False
University of Montevallo,26585.25,27725.0,1.0944641189586317,False
University of North Alabama,24159.0,30000.0,1.2877556347484096,False
Samford University,19800.75,40300.0,1.8379633766253876,True
University of South Alabama,27653.76,36928.0,1.4281565927093114,False
Troy University,27578.772727272728,31336.363636363636,1.15707143478979,False
Tuskegee University,32547.7,46480.0,1.4599385567943142,False
University of Alaska Fairbanks,22719.0,38820.0,2.0348716720978848,True
Arizona State University-Tempe,21857.49315068493,41004.109589041094,1.9457370427966447,True
Embry-Riddle Aeronautical University-Prescott,25038.4,51340.0,2.0054007488894983,True
University of Arkansas at Little Rock,23991.0,34930.769230769234,1.562470962504797,True
University of Arkansas,21389.772727272728,40118.181818181816,1.8749208985689534,True
University of Arkansas at Pine Bluff,27229.0,25028.571428571428,0.9466587412473155,False
Arkansas State University-Main Campus,23483.521739130436,32691.304347826088,1.5037677559835023,True
University of Central Arkansas,22748.583333333332,32687.5,1.5335097424777766,True
Harding University,26006.714285714286,37664.28571428572,1.4285194000229064,False
Henderson State University,21446.5,29700.0,1.315115826476133,False
Hendrix College,24482.0,19000.0,0.7037037037037037,False
John Brown University,21261.2,36440.0,1.6602963130904833,True
Ouachita Baptist University,21176.666666666668,29166.666666666668,1.2739403345950597,False
Southern Arkansas University Main Campus,19490.5,36925.0,2.1691865097975924,True
Azusa Pacific University,23736.05,34070.0,1.420134761783435,False
Biola University,24111.214285714286,30421.428571428572,1.178738914869696,False
California Baptist University,27719.85714285714,38666.666666666664,1.436496526685831,False
California Lutheran University,21702.11111111111,36977.77777777778,1.6826540061684427,True
California Polytechnic State University-San Luis Obispo,18601.853658536584,49165.85365853659,2.664554772247907,True
California State University-San Bernardino,18462.46875,30534.375,1.836749537237826,True
California State Polytechnic University-Pomona,20533.775,40977.5,2.044500813874511,True
California State University-Chico,18008.45238095238,37280.95238095238,2.134332427962257,True
California State University-Fresno,17529.76923076923,33938.46153846154,2.33403075820968,True
California State University-Fullerton,17681.0,36122.857142857145,2.2165066148063453,True
